startWochentag;startDatum;startKM;startOrt;endeWochentag;endeDatum;endeKM;endeOrt;ereignis;bemerkung
Tue;04.12.2018.05:50;160235;Kanalstrasse - KL;Tue;04.12.2018.06:35;160309;Bismarkstrasse 36, Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Mon;03.12.2018.18:30;160216;TimeTec - Queidersbach;Mon;03.12.2018.19:00;160235;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Mon;03.12.2018.16:20;160154;VKB - Saarbrücken;Mon;03.12.2018.17:10;160216;TimeTec - Queidersbach;Fahrt;OBD2 Testfahrt iOS Programmierung, Steuer, Bank
Mon;03.12.2018.05:50;160077;Kanalstrasse - KL;Mon;03.12.2018.06:35;160154;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Fri;30.11.2018.15:00;159921;VKB - Saarbrücken;Fri;30.11.2018.16:00;160000;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Fri;30.11.2018.06:00;159857;TimeTec - Queidersbach;Fri;30.11.2018.06:45;159921;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Thu;29.11.2018.16:07;159795;VKB - Saarbrücken;Thu;29.11.2018.17:00;159857;TimeTec - Queidersbach;Fahrt;OBD2 Testfahrt iOS Programmierung, Buchhaltung
Thu;29.11.2018.06:07;159719;Kanalstrasse - KL;Thu;29.11.2018.06:50;159795;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;28.11.2018.15:15;159583;VKB - Saarbrücken ;Wed;28.11.2018.16:00;159658;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;28.11.2018.05:55;159508;Kanalstrasse - KL;Wed;28.11.2018.06:45;159583;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Tue;27.11.2018.19:20;159506;HEM - Kaiserslautern;Tue;27.11.2018.19:35;159508;Kanalstrasse - KL;Fahrt;
Tue;27.11.2018.19:00;159504;Kanalstrasse - KL;Tue;27.11.2018.19:05;159506;HEM - Kaiserslautern;Fahrt;HEM - Tankstelle Kaiserlautern
Tue;27.11.2018.16:00;159420;VKB - Saarbrücken;Tue;27.11.2018.16:50;159504;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung, Baustellenumfahrung in SB,
Tue;27.11.2018.05:50;159344;Kanalstrasse - KL;Tue;27.11.2018.06:35;159420;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Mon;26.11.2018.18:30;159323;TimeTec - Queidersbach;Mon;26.11.2018.18:55;159344;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Mon;26.11.2018.15:00;159262;VKB - Saarbrücken;Mon;26.11.2018.15:50;159323;TimeTec - Queidersbach;Fahrt;Banktermin in Queidersbach, Buchhaltung, Briefe
Mon;26.11.2018.05:50;159188;Kanalstrasse - KL;Mon;26.11.2018.06:30;159262;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Fri;23.11.2018.15:10;159024;VKB - Saarbrücken;Fri;23.11.2018.16:15;159099;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Fri;23.11.2018.05:56;158948;Kanalstrasse - KL;Fri;23.11.2018.06:40;159024;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Thu;22.11.2018.16:09;158873;VKB - Saarbrücken;Thu;22.11.2018.17:17;158948;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Thu;22.11.2018.05:57;158797;Kanalstrasse 53;Thu;22.11.2018.06:43;158873;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;21.11.2018.15:00;158722;VKB - Saarbrücken;Wed;21.11.2018.16:00;158797;Kanalstrasse 53;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;21.11.2018.05:50;158648;Kanalstrasse - KL;Wed;21.11.2018.06:40;158722;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Tue;20.11.2018.18:00;158645;JET - Kaiserslautern;Tue;20.11.2018.08:05;158648;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Tue;20.11.2018.17:45;158627;TimeTec - Queidersbach;Tue;20.11.2018.17:55;158645;JET - Kaiserslautern;Fahrt;Tankfahrt
Tue;20.11.2018.16:00;158518;VKB - Saarbrücken;Tue;20.11.2018.16:50;158582;TimeTec - Queidersbach;Fahrt;Bank, Buchhaltung
Tue;20.11.2018.05:50;158442;Kanalstrasse - KL;Tue;20.11.2018.06:35;158518;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Mon;19.11.2018.17:00;158427;Rittersbacher - Landstuhl;Mon;19.11.2018.17:45;158442;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Mon;19.11.2018.15:50;158372;VKB - Saarbrücken;Mon;19.11.2018.16:55;158427;Rittersbacher - Landstuhl;Fahrt;Herr Zinselors Begutachtung Unfall vom 03.11.2018 in der Kanalstrasse
Mon;19.11.2018.05:50;158297;Kanalstrasse - KL;Mon;19.11.2018.06:35;158372;VKB - Saarbrücken;Fahrt;
Fri;16.11.2018.15:15;158126;VKB - Saarbrücken;Fri;16.11.2018.16:15;158201;Kanalstrasse - KL;Fahrt;
Fri;16.11.2018.06:05;158052;Kanalstrasse - KL;Fri;16.11.2018.06:45;158126;VKB - Saarbrücken;Fahrt;
Tue;13.11.2018.16:00;157975;VKB - Saarbrücken;Tue;13.11.2018.16:50;158052;Kanalstrasse - KL;Fahrt;
Tue;13.11.2018.06:00;157900;Kanalstrasse - KL;Tue;13.11.2018.06:50;157975;VKB - Saarbrücken;Fahrt;
Mon;12.11.2018.16:20;157825;VKB - Saarbrücken;Mon;12.11.2018.18:15;157900;Kanalstrasse - KL;Fahrt;
Mon;12.11.2018.05:50;157749;Kanalstrasse - KL;Mon;12.11.2018.06:35;157825;VKB - Saarbrücken;Fahrt;
Fri;09.11.2018.15:00;157624;VKB - Saarbrücken;Fri;09.11.2018.16:00;157700;Kanalstrasse - KL;Fahrt;
Fri;09.11.2018.05:55;157549;Kanalstrasse - KL;Fri;09.11.2018.06:35;157624;VKB - Saarbrücken;Fahrt;
Thu;08.11.2018.19:15;157475;VKB - Saarbrücken;Thu;08.11.2018.20:00;157549;Kanalstrasse - KL;Fahrt;
Thu;08.11.2018.05:55;157400;Kanalstrasse - KL;Thu;08.11.2018.06:35;157475;VKB - Saarbrücken;Fahrt;
Wed;07.11.2018.16:30;157325;VKB - Saarbrücken;Wed;07.11.2018.18:00;157400;Kanalstrasse - KL;Fahrt;
Wed;07.11.2018.05:50;157251;Kanalstrasse - KL;Wed;07.11.2018.06:45;157325;VKB - Saarbrücken;Fahrt;
Tue;06.11.2018.16:20;157175;VKB - Saarbrücken;Tue;06.11.2018.18:00;157251;Kanalstrasse - KL;Fahrt;
Tue;06.11.2018.05:50;157100;Kanalstrasse - KL;Tue;06.11.2018.06:35;157175;VKB - Saarbrücken;Fahrt;
Mon;05.11.2018.16:30;157024;VKB - Saarbrücken;Mon;05.11.2018.17:45;157100;Kanalstrasse - KL;Fahrt;
Mon;05.11.2018.05:53;156949;Kanalstrasse - KL;Mon;05.11.2018.06:35;157024;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;31.10.2018.16:30;156757;VKB - Saarbrücken;Wed;31.10.2018.17:45;156834;Kanalstrasse - KL;Fahrt;
Wed;31.10.2018.05:50;156682;Kanalstrasse - KL;Wed;31.10.2018.06:45;156757;VKB - Saarbrücken;Fahrt;
Tue;30.10.2018.16:20;156606;VKB - Saarbrücken;Tue;30.10.2018.17:20;156682;Kanalstrasse - KL;Fahrt;
Tue;30.10.2018.05:50;156530;Kanalstrasse - KL;Tue;30.10.2018.06:30;156606;VKB - Saarbrücken;Fahrt;
Mon;29.10.2018.16:00;156513;Steuer - Koper;Mon;29.10.2018.17:00;156530;Kanalstrasse - KL;Fahrt;
Mon;29.10.2018.13:50;156455;VKB - Saarbrücken;Mon;29.10.2018.14:45;156513;Steuer - Koper;Fahrt;Steuerberater Koper in Landstuhl
Mon;29.10.2018.05:55;156379;Kanalstrasse - KL;Mon;29.10.2018.06:35;156455;VKB - Saarbrücken;Fahrt;
Fri;26.10.2018.14:45;156231;VKB - Saarbrücken ;Fri;26.10.2018.16:00;156305;Kanalstrasse - KL;Fahrt;
Fri;26.10.2018.05:50;156156;Kanalstrasse - KL;Fri;26.10.2018.06:35;156231;VKB - Saarbrücken ;Fahrt;
Thu;25.10.2018.16:45;156081;VKB - Saarbrücken;Thu;25.10.2018.18:30;156156;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Thu;25.10.2018.05:50;156005;Kanalstrasse - KL;Thu;25.10.2018.06:35;156081;VKB - Saarbrücken;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;24.10.2018.16:15;155930;VKB - Saarbrücken;Wed;24.10.2018.17:30;156005;Kanalstrasse - KL;Fahrt;OBD2 Testfahrt iOS Programmierung
Wed;24.10.2018.05:50;155856;Kanalstrasse - KL;Wed;24.10.2018.06:30;155930;VKB - Saarbrücken;Fahrt;
Fri;19.10.2018.16:00;155707;VKB - Saarbrücken;Fri;19.10.2018.17:00;155781;Kanalstrasse - KL;Fahrt;
Fri;19.10.2018.05:55;155634;Kanalstrasse - KL;Fri;19.10.2018.06:40;155707;VKB - Saarbrücken;Fahrt;
Thu;18.10.2018.17:00;155559;VKB - Saarbrücken ;Thu;18.10.2018.18:30;155634;Kanalstrasse - KL;Fahrt;
Thu;18.10.2018.06:50;155485;Kanalstrasse 53;Thu;18.10.2018.06:35;155559;VKB - Saarbrücken ;Fahrt;
Wed;17.10.2018.16:30;155410;VKB - Saarbrücken;Wed;17.10.2018.17:30;155485;Kanalstrasse 53;Fahrt;
Wed;17.10.2018.05:55;155335;Kanalstrasse - KL;Wed;17.10.2018.06:35;155410;VKB - Saarbrücken;Fahrt;
Tue;16.10.2018.16:15;155259;VKB - Saarbrücken ;Tue;16.10.2018.17:15;155335;Kanalstrasse - KL;Fahrt;Fahrt über TimeTec Buchhaltung, Post, Kotoauszuüge
Tue;16.10.2018.05:53;155184;Kanalstrasse - KL;Tue;16.10.2018.06:40;155259;VKB - Saarbrücken ;Fahrt;
Mon;15.10.2018.15:50;155110;VKB - Saarbrücken ;Mon;15.10.2018.17:00;155184;Kanalstrasse - KL;Fahrt;
Mon;15.10.2018.05:50;155035;Kanalstrasse - KL;Mon;15.10.2018.06:40;155110;VKB - Saarbrücken;Fahrt;
Fri;12.10.2018.15:30;154889;VKB - Saarbrücken;Fri;12.10.2018.16:30;154965;Kanalstrasse - KL;Fahrt;
